tenure,remote_caring_hrs,productivity_remote,birth_year,industry,expect_employer_changes,expect_more_choice,easy_permission,post_covid_preference,is_manager,response_id,office_working_hrs,remote_working_hrs,household_type,office_personal_hrs,office_caring_hrs,remote_time_last_year,preferred_remote_last_year,gender,occupation,expect_employer_encourage,org_size,remote_personal_hrs,org_prepared,remote_commute_hrs,org_encouraged_remote,remote_was_common,easy_collaboration,year,office_commute_hrs,location
Between 1 and 5 years,1.0,I’m 20% more productive when working remotely,1977,Education and Training,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,80%,Yes,835,8.0,10.0,Couple with dependent children,1.0,1.0,80%,70%,Female,Managers,Neither agree nor disagree,Between 20 and 199,2.0,Neither agree nor disagree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,4.0,Metro
Between 1 and 5 years,2.5,I’m 20% less productive when working remotely,1976,"Professional, Scientific and Technical Services",Somewhat disagree,Somewhat agree,Strongly agree,40%,Yes,836,8.0,7.0,Couple with dependent children,2.0,1.0,60%,50% - About half of my time,Male,Professionals,Somewhat agree,Between 1 and 4,2.0,Strongly agree,0.5,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Metro
More than 5 years,2.0,I’m 50% more productive when working remotely (or more),1974,"Professional, Scientific and Technical Services",Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,Yes,837,7.5,8.5,Group household,1.0,2.0,30%,90%,Female,Professionals,Somewhat agree,More than 200,3.0,Strongly agree,0.0,Strongly agree,Somewhat agree,Strongly agree,2020,2.0,Metro
Between 1 and 5 years,1.0,I’m 20% less productive when working remotely,1960,"Professional, Scientific and Technical Services",Neither agree nor disagree,Neither agree nor disagree,Strongly agree,10%,No,838,8.0,6.0,Couple with no dependent children,0.0,0.0,20%,Less than 10% of my time,Male,Professionals,Neither agree nor disagree,I am the only employee,1.0,Somewhat agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,0.45,Regional
More than 5 years,1.0,I’m 30% less productive when working remotely,1987,Health Care and Social Assistance,Strongly disagree,Strongly disagree,Somewhat disagree,I would prefer not to work remotely ,Yes,839,10.0,2.0,Single person,1.0,2.0,Less than 10% of my time,I would not have preferred to work remotely ,Male,Professionals,Strongly disagree,Between 5 and 19,1.0,Somewhat agree,1.5,Somewhat agree,Somewhat agree,Somewhat agree,2020,0.5,Metro
Between 1 and 5 years,4.0,I’m 20% more productive when working remotely,1985,Manufacturing,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Less than 10% of my time,Yes,840,2.0,5.0,Couple with dependent children,1.0,1.0,40%,10%,Male,Community and personal service ,Somewhat disagree,Between 5 and 19,3.0,Neither agree nor disagree,2.0,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,2020,1.0,Metro
Between 1 and 5 years,4.0,I’m 20% less productive when working remotely,1977,Public Administration and Safety,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,20%,No,841,7.5,7.0,Couple with dependent children,3.0,3.0,Rarely or never ,10%,Female,Clerical and administrative ,Strongly disagree,More than 200,3.0,Somewhat disagree,1.0,Neither agree nor disagree,Strongly agree,Somewhat agree,2020,1.5,Metro
More than 5 years,2.0,My productivity is about same when I work remotely,1988,Financial and Insurance Services,Neither agree nor disagree,Somewhat disagree,Somewhat agree,50% - About half of my time,No,842,8.0,8.0,Multiple family household,2.0,1.0,Rarely or never ,I would not have preferred to work remotely ,Male,Professionals,Somewhat disagree,Between 20 and 199,4.0,Somewhat agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,2.0,Metro
More than 5 years,4.0,I’m 20% more productive when working remotely,1966,Education and Training,Somewhat agree,Somewhat agree,Strongly agree,50% - About half of my time,Yes,843,5.0,5.0,Single person,4.0,3.0,40%,50% - About half of my time,Male,Managers,Somewhat agree,More than 200,4.0,Somewhat agree,0.0,Strongly agree,Somewhat agree,Somewhat disagree,2020,3.0,Metro
Between 1 and 5 years,0.2,My productivity is about same when I work remotely,1986,"Professional, Scientific and Technical Services",Neither agree nor disagree,Neither agree nor disagree,Strongly agree,50% - About half of my time,No,844,7.0,8.0,Group household,0.1,0.1,Rarely or never ,20%,Male,Professionals,Neither agree nor disagree,More than 200,0.1,Somewhat agree,0.5,Strongly agree,Strongly agree,Somewhat agree,2020,2.0,Metro
Between 1 and 5 years,3.0,I’m 50% more productive when working remotely (or more),1964,"Professional, Scientific and Technical Services",Neither agree nor disagree,Neither agree nor disagree,Strongly agree,50% - About half of my time,No,845,8.0,9.0,One  parent family with dependent children,2.0,3.0,30%,30%,Female,Professionals,Neither agree nor disagree,Between 20 and 199,3.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Metro
More than 5 years,2.0,I’m 20% more productive when working remotely,1976,"Transport, Postal and Warehousing",Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,90%,Yes,846,8.0,9.0,Couple with no dependent children,2.0,2.0,20%,90%,Male,Managers,Neither agree nor disagree,More than 200,2.0,Neither agree nor disagree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,2.0,Metro
More than 5 years,5.0,I’m 20% less productive when working remotely,1970,Education and Training,Strongly agree,Somewhat disagree,Strongly agree,30%,Yes,847,8.0,8.0,Couple with dependent children,8.0,5.0,20%,20%,Male,Managers,Strongly agree,More than 200,8.0,Somewhat disagree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,0.5,Regional
More than 5 years,10.0,My productivity is about same when I work remotely,1983,"Professional, Scientific and Technical Services",Neither agree nor disagree,Neither agree nor disagree,Strongly agree,100% - All of my time,No,848,0.0,4.0,Couple with dependent children,0.0,0.0,100% - I spent all of my time remote working,100% - All of my time,Female,Professionals,Strongly agree,I am the only employee,2.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,0.0,Metro
More than 5 years,3.0,My productivity is about same when I work remotely,1960,"Professional, Scientific and Technical Services",Neither agree nor disagree,Strongly agree,Strongly agree,50% - About half of my time,Yes,849,6.0,6.0,Couple with dependent children,6.0,3.0,20%,20%,Male,Managers,Somewhat agree,Between 20 and 199,6.0,Strongly agree,0.0,Strongly agree,Somewhat agree,Strongly agree,2020,1.5,Metro
Between 1 and 5 years,0.0,I’m 10% less productive when working remotely,1975,Financial and Insurance Services,Somewhat agree,Somewhat agree,Strongly agree,50% - About half of my time,Yes,850,10.0,14.0,Couple with no dependent children,0.5,0.0,10%,10%,Male,Professionals,Somewhat agree,Between 20 and 199,0.5,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Metro
Between 6 and 12 months,1.0,I’m 10% less productive when working remotely,1982,Retail Trade,Neither agree nor disagree,Somewhat agree,Strongly agree,50% - About half of my time,Yes,851,8.0,8.0,Couple with no dependent children,4.0,1.0,90%,10%,Male,Professionals,Somewhat agree,More than 200,5.0,Strongly agree,0.5,Strongly agree,Strongly agree,Neither agree nor disagree,2020,1.0,Metro
Between 1 and 5 years,1.0,I’m 50% more productive when working remotely (or more),1977,"Transport, Postal and Warehousing",Somewhat disagree,Strongly disagree,Neither agree nor disagree,50% - About half of my time,Yes,852,7.0,9.0,Couple with dependent children,2.0,2.0,Rarely or never ,50% - About half of my time,Female,Clerical and administrative ,Neither agree nor disagree,Between 20 and 199,4.0,Somewhat agree,0.0,Somewhat agree,Strongly disagree,Strongly agree,2020,2.0,Metro
Between 1 and 5 years,0.0,I’m 50% less productive when working remotely (or less),1980,"Professional, Scientific and Technical Services",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,No,853,1.0,0.0,Couple with dependent children,1.0,1.0,40%,50% - About half of my time,Male,Professionals,Neither agree nor disagree,More than 200,0.0,Neither agree nor disagree,0.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2020,1.0,Metro
More than 5 years,4.0,I’m 30% more productive when working remotely,1958,Financial and Insurance Services,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,Yes,854,8.0,9.0,Couple with no dependent children,4.0,4.0,20%,40%,Female,Professionals,Somewhat agree,More than 200,6.0,Strongly agree,0.5,Strongly agree,Strongly agree,Strongly agree,2020,1.5,Metro
More than 5 years,4.0,I’m 50% more productive when working remotely (or more),1963,"Electricity, Gas, Water and Waste Services",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,100% - All of my time,No,855,2.0,4.0,Couple with no dependent children,4.0,4.0,100% - I spent all of my time remote working,100% - All of my time,Female,Clerical and administrative ,Somewhat agree,Between 1 and 4,2.0,Strongly agree,1.0,Strongly agree,Strongly agree,Neither agree nor disagree,2020,1.0,Regional
More than 5 years,4.0,My productivity is about same when I work remotely,1959,Education and Training,Somewhat agree,Neither agree nor disagree,Strongly agree,Less than 10% of my time,No,856,8.0,8.0,Single person,11.0,4.0,10%,Less than 10% of my time,Female,Professionals,Neither agree nor disagree,Between 20 and 199,12.0,Neither agree nor disagree,0.0,Neither agree nor disagree,Somewhat agree,Somewhat agree,2020,1.0,Regional
Between 1 and 5 years,4.0,I’m 10% more productive when working remotely,1978,"Professional, Scientific and Technical Services",Neither agree nor disagree,Neither agree nor disagree,Strongly agree,I would prefer not to work remotely ,No,857,8.0,10.0,Couple with dependent children,3.0,4.0,Rarely or never ,I would not have preferred to work remotely ,Male,Professionals,Somewhat disagree,Between 20 and 199,3.0,Somewhat agree,1.0,Strongly agree,Neither agree nor disagree,Strongly agree,2020,3.0,Metro
Between 6 and 12 months,4.0,I’m 50% more productive when working remotely (or more),1972,Information Media and Telecommunications,Somewhat agree,Strongly agree,Strongly agree,100% - All of my time,Yes,858,10.0,12.0,Couple with no dependent children,8.5,3.0,20%,60%,Male,Managers,Strongly agree,More than 200,8.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,2.5,Metro
More than 5 years,1.5,I’m 10% more productive when working remotely,1957,"Professional, Scientific and Technical Services",Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,20%,Yes,859,9.0,9.5,Couple with no dependent children,13.0,1.0,Less than 10% of my time,10%,Male,Managers,Somewhat disagree,More than 200,13.0,Somewhat agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,1.0,Regional
Between 1 and 5 years,1.0,I’m 20% more productive when working remotely,1971,Information Media and Telecommunications,Somewhat agree,Strongly agree,Strongly agree,50% - About half of my time,Yes,860,8.0,9.0,Couple with dependent children,12.0,0.0,10%,20%,Male,Managers,Strongly agree,Between 20 and 199,13.5,Strongly agree,0.5,Strongly agree,Strongly agree,Strongly agree,2020,4.0,Metro
More than 5 years,2.0,I’m 20% less productive when working remotely,1979,"Professional, Scientific and Technical Services",Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,Yes,861,10.0,10.0,Couple with dependent children,1.5,3.0,Less than 10% of my time,30%,Male,Managers,Strongly agree,Between 20 and 199,3.0,Somewhat agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,2.0,Metro
Between 1 and 5 years,0.0,My productivity is about same when I work remotely,1994,"Rental, Hiring and Real Estate Services",Somewhat agree,Somewhat agree,Strongly agree,50% - About half of my time,Yes,862,8.0,8.0,Couple with no dependent children,0.0,0.0,Less than 10% of my time,Less than 10% of my time,Female,Professionals,Somewhat agree,More than 200,0.0,Strongly agree,0.0,Somewhat agree,Strongly agree,Strongly agree,2020,0.0,Metro
More than 5 years,2.0,My productivity is about same when I work remotely,1977,Health Care and Social Assistance,Somewhat agree,Somewhat agree,Somewhat agree,40%,No,863,8.0,8.0,Couple with no dependent children,4.0,2.0,40%,40%,Female,Clerical and administrative ,Somewhat agree,More than 200,4.0,Somewhat agree,0.0,Somewhat agree,Neither agree nor disagree,Somewhat agree,2020,1.0,Metro
Between 1 and 5 years,1.5,I’m 20% more productive when working remotely,1966,Financial and Insurance Services,Somewhat agree,Strongly agree,Strongly agree,50% - About half of my time,No,864,9.0,9.5,Single person,2.0,2.0,Rarely or never ,100% - All of my time,Male,Professionals,Somewhat agree,Between 20 and 199,2.0,Strongly agree,1.0,Strongly agree,Somewhat agree,Somewhat agree,2020,3.0,Metro
Between 1 and 5 years,7.0,I’m 10% less productive when working remotely,1963,Construction,Somewhat disagree,Somewhat disagree,Somewhat agree,I would prefer not to work remotely ,No,865,5.0,5.0,Couple with dependent children,15.0,3.5,Less than 10% of my time,I would not have preferred to work remotely ,Male,Labourers,Somewhat disagree,Between 20 and 199,10.0,Somewhat agree,2.0,Somewhat disagree,Somewhat disagree,Somewhat disagree,2020,0.5,Regional
Between 1 and 5 years,5.0,I’m 50% more productive when working remotely (or more),1976,Education and Training,Strongly agree,Somewhat agree,Strongly agree,80%,Yes,866,6.0,5.0,Couple with dependent children,2.0,5.0,100% - I spent all of my time remote working,80%,Female,Professionals,Strongly agree,I am the only employee,3.0,Strongly agree,0.25,Strongly agree,Strongly agree,Somewhat agree,2020,1.0,Metro
More than 5 years,1.0,I’m 10% less productive when working remotely,1967,Other Services,Somewhat agree,Neither agree nor disagree,Strongly agree,70%,Yes,867,5.0,9.0,Couple with dependent children,4.0,4.0,80%,70%,Male,Professionals,Somewhat disagree,I am the only employee,4.0,Somewhat agree,0.0,Strongly agree,Somewhat agree,Somewhat agree,2020,1.0,Regional
More than 5 years,1.0,I’m 40% more productive when working remotely,1967,Accommodation and Food Services,Somewhat agree,Somewhat agree,Strongly agree,80%,No,868,7.5,7.5,Group household,4.0,2.0,Rarely or never ,Less than 10% of my time,Male,Clerical and administrative ,Somewhat agree,More than 200,4.0,Somewhat agree,0.5,Strongly agree,Strongly agree,Strongly agree,2020,1.5,Metro
More than 5 years,0.0,My productivity is about same when I work remotely,1989,Administrative and Support Services,Somewhat disagree,Somewhat disagree,Somewhat disagree,50% - About half of my time,Yes,869,8.0,8.0,Couple with no dependent children,1.0,0.0,Less than 10% of my time,40%,Female,Managers,Somewhat disagree,Between 20 and 199,2.0,Somewhat disagree,0.0,Strongly disagree,Somewhat disagree,Somewhat agree,2020,1.0,Metro
Between 1 and 5 years,1.0,I’m 50% more productive when working remotely (or more),1981,Manufacturing,Somewhat disagree,Somewhat disagree,Somewhat agree,90%,Yes,870,9.0,8.0,One  parent family with dependent children,2.0,2.0,60%,100% - All of my time,Female,Managers,Somewhat disagree,Between 20 and 199,4.0,Strongly agree,0.5,Somewhat agree,Strongly agree,Somewhat agree,2020,2.0,Metro
Between 6 and 12 months,4.0,I’m 20% more productive when working remotely,1975,Education and Training,Somewhat agree,Somewhat agree,Strongly agree,80%,No,871,7.0,7.0,Other one family household,2.0,4.0,100% - I spent all of my time remote working,100% - All of my time,Male,Professionals,Somewhat agree,More than 200,4.0,Somewhat agree,1.0,Strongly agree,Somewhat agree,Somewhat agree,2020,3.5,Metro
Between 1 and 5 years,1.0,I’m 30% more productive when working remotely,1980,Financial and Insurance Services,Strongly agree,Strongly agree,Strongly agree,40%,Yes,872,8.0,8.0,Couple with no dependent children,2.0,1.0,Rarely or never ,20%,Female,Managers,Strongly agree,More than 200,3.0,Strongly agree,0.5,Strongly agree,Strongly agree,Somewhat agree,2020,1.5,Metro
More than 5 years,4.0,I’m 30% more productive when working remotely,1983,Other Services,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,80%,Yes,873,7.5,7.5,Couple with dependent children,12.0,4.0,Less than 10% of my time,70%,Male,Professionals,Neither agree nor disagree,More than 200,12.5,Somewhat agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,0.5,Metro
More than 5 years,3.0,I’m 30% more productive when working remotely,1979,Other Services,Somewhat agree,Somewhat agree,Somewhat agree,60%,No,874,7.5,7.5,Couple with dependent children,3.0,3.0,Rarely or never ,40%,Male,Professionals,Somewhat agree,More than 200,3.0,Neither agree nor disagree,1.0,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Metro
Between 1 and 5 years,1.0,I’m 30% more productive when working remotely,1970,"Professional, Scientific and Technical Services",Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,No,875,7.0,8.0,Single person,2.0,1.0,10%,50% - About half of my time,Female,Professionals,Somewhat agree,More than 200,4.0,Strongly agree,0.0,Somewhat agree,Somewhat agree,Strongly agree,2020,0.5,Regional
More than 5 years,4.0,I’m 10% more productive when working remotely,1961,Health Care and Social Assistance,Somewhat agree,Neither agree nor disagree,Somewhat agree,I would prefer not to work remotely ,Yes,876,7.0,8.0,Single person,3.0,4.0,30%,30%,Male,Professionals,Somewhat agree,I am the only employee,4.0,Strongly agree,1.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,2020,3.0,Regional
Between 1 and 5 years,2.0,My productivity is about same when I work remotely,1976,Manufacturing,Strongly agree,Somewhat agree,Somewhat agree,40%,Yes,877,8.0,8.0,Couple with dependent children,4.0,1.0,30%,30%,Male,Managers,Strongly agree,Between 20 and 199,6.0,Strongly agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,2.0,Metro
More than 5 years,3.0,I’m 20% more productive when working remotely,1989,"Transport, Postal and Warehousing",Somewhat agree,Somewhat agree,Somewhat agree,80%,Yes,878,7.0,8.0,Couple with no dependent children,2.0,4.0,Less than 10% of my time,20%,Male,Managers,Somewhat agree,More than 200,3.0,Somewhat agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,2.0,Metro
More than 5 years,0.5,I’m 30% less productive when working remotely,1958,"Professional, Scientific and Technical Services",Strongly agree,Strongly agree,Strongly agree,I would prefer not to work remotely ,No,879,8.0,6.0,Couple with no dependent children,4.0,0.5,Rarely or never ,I would not have preferred to work remotely ,Male,Professionals,Somewhat agree,More than 200,5.0,Strongly agree,0.5,Strongly agree,Strongly agree,Somewhat disagree,2020,1.5,Metro
More than 5 years,2.0,I’m 20% more productive when working remotely,1967,Administrative and Support Services,Somewhat agree,Somewhat agree,Strongly agree,100% - All of my time,No,880,7.5,8.0,Couple with dependent children,2.5,1.0,100% - I spent all of my time remote working,100% - All of my time,Female,Professionals,Somewhat agree,More than 200,2.0,Strongly agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,1.0,Regional
Between 1 and 5 years,4.0,My productivity is about same when I work remotely,1961,Public Administration and Safety,Neither agree nor disagree,Somewhat disagree,Strongly agree,70%,No,881,5.0,6.0,Couple with dependent children,2.0,4.0,70%,80%,Male,Professionals,Somewhat disagree,Between 20 and 199,3.0,Strongly agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,2.0,Metro
More than 5 years,1.0,My productivity is about same when I work remotely,1961,"Professional, Scientific and Technical Services",Somewhat agree,Somewhat agree,Strongly agree,10%,No,882,8.0,9.0,Couple with no dependent children,6.0,1.0,60%,40%,Male,Managers,Somewhat agree,More than 200,6.0,Somewhat agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,1.0,Metro
Between 1 and 5 years,4.0,My productivity is about same when I work remotely,1967,Manufacturing,Somewhat agree,Somewhat agree,Strongly agree,100% - All of my time,No,883,8.0,8.0,Couple with dependent children,2.0,3.0,40%,40%,Male,Sales ,Somewhat agree,Between 20 and 199,4.0,Somewhat agree,0.0,Somewhat agree,Strongly agree,Somewhat agree,2020,3.0,Metro
More than 5 years,4.0,I’m 40% more productive when working remotely,1965,Education and Training,Strongly disagree,Strongly disagree,Neither agree nor disagree,I would prefer not to work remotely ,No,884,7.0,8.0,Multiple family household,10.0,5.0,Rarely or never ,I would not have preferred to work remotely ,Female,Clerical and administrative ,Strongly disagree,More than 200,11.0,Neither agree nor disagree,1.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,2.0,Metro
More than 5 years,0.5,My productivity is about same when I work remotely,1961,Wholesale Trade,Somewhat disagree,Somewhat disagree,Strongly agree,20%,No,885,9.0,9.0,Couple with no dependent children,5.0,0.0,Less than 10% of my time,I would not have preferred to work remotely ,Male,Managers,Somewhat disagree,Between 20 and 199,6.0,Strongly agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,1.5,Metro
More than 5 years,4.0,I’m 10% less productive when working remotely,1967,"Transport, Postal and Warehousing",Somewhat agree,Somewhat agree,Strongly agree,20%,Yes,886,8.0,8.0,Group household,4.0,4.0,10%,10%,Female,Managers,Somewhat agree,More than 200,5.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Metro
More than 5 years,2.0,I’m 20% more productive when working remotely,1980,"Transport, Postal and Warehousing",Somewhat agree,Strongly agree,Strongly agree,40%,No,887,8.0,7.5,Couple with dependent children,4.0,2.0,20%,30%,Male,Managers,Somewhat agree,More than 200,4.5,Somewhat agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,1.0,Metro
Between 1 and 5 years,2.0,I’m 10% more productive when working remotely,1970,Health Care and Social Assistance,Somewhat disagree,Somewhat disagree,Strongly agree,50% - About half of my time,No,888,6.0,7.0,Couple with no dependent children,4.0,1.0,Rarely or never ,50% - About half of my time,Female,Community and personal service ,Somewhat disagree,Between 20 and 199,5.0,Somewhat agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,0.5,Regional
More than 5 years,3.0,I’m 20% more productive when working remotely,1978,Education and Training,Somewhat disagree,Somewhat disagree,Somewhat agree,50% - About half of my time,No,889,8.0,8.0,Couple with dependent children,2.0,3.0,40%,50% - About half of my time,Female,Professionals,Somewhat disagree,More than 200,4.0,Somewhat agree,0.5,Somewhat agree,Somewhat agree,Somewhat agree,2020,2.0,Regional
Between 1 and 5 years,2.0,My productivity is about same when I work remotely,1968,Administrative and Support Services,Neither agree nor disagree,Somewhat agree,Strongly agree,60%,No,890,9.0,10.0,Couple with no dependent children,3.0,1.0,50% - I spent about half of my time remote working,50% - About half of my time,Female,Professionals,Somewhat disagree,Between 5 and 19,4.0,Strongly agree,0.5,Strongly agree,Strongly agree,Strongly agree,2020,2.0,Metro
Between 1 and 5 years,2.0,I’m 50% more productive when working remotely (or more),1958,Other Services,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,Yes,891,8.0,9.0,Other one family household,4.0,2.0,30%,80%,Female,Managers,Strongly agree,Between 20 and 199,4.0,Strongly agree,1.0,Strongly agree,Strongly agree,Strongly agree,2020,2.0,Metro
Between 1 and 5 years,1.5,I’m 20% more productive when working remotely,1994,Public Administration and Safety,Strongly agree,Somewhat agree,Strongly agree,50% - About half of my time,No,892,9.0,11.0,Other one family household,2.0,1.0,Rarely or never ,Less than 10% of my time,Male,Clerical and administrative ,Strongly agree,Between 20 and 199,4.0,Strongly agree,0.5,Strongly agree,Strongly agree,Strongly agree,2020,2.0,Metro
Between 1 and 5 years,4.0,My productivity is about same when I work remotely,1965,Financial and Insurance Services,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,50% - About half of my time,Yes,893,8.0,8.0,Couple with no dependent children,6.0,4.0,Less than 10% of my time,30%,Male,Managers,Neither agree nor disagree,More than 200,6.0,Somewhat agree,0.5,Somewhat agree,Somewhat agree,Strongly agree,2020,4.0,Metro
More than 5 years,2.0,I’m 10% more productive when working remotely,1978,"Professional, Scientific and Technical Services",Neither agree nor disagree,Somewhat agree,Strongly agree,30%,No,894,8.0,8.5,Couple with dependent children,2.0,1.5,Less than 10% of my time,20%,Male,Technicians and trades ,Neither agree nor disagree,More than 200,2.0,Strongly agree,0.5,Strongly agree,Strongly agree,Somewhat agree,2020,1.5,Metro
More than 5 years,2.0,My productivity is about same when I work remotely,1969,Financial and Insurance Services,Somewhat agree,Somewhat agree,Strongly agree,50% - About half of my time,Yes,895,9.0,8.0,Couple with dependent children,12.0,2.0,20%,20%,Male,Managers,Neither agree nor disagree,More than 200,14.0,Strongly agree,0.0,Strongly agree,Strongly agree,Neither agree nor disagree,2020,1.0,Metro
Between 6 and 12 months,1.0,I’m 30% more productive when working remotely,1981,Administrative and Support Services,Somewhat agree,Somewhat agree,Strongly agree,50% - About half of my time,No,896,9.0,10.0,Couple with no dependent children,4.0,1.0,10%,50% - About half of my time,Male,Professionals,Somewhat agree,More than 200,4.0,Strongly agree,0.5,Strongly agree,Strongly agree,Strongly agree,2020,2.0,Metro
More than 5 years,5.0,I’m 50% more productive when working remotely (or more),1978,Public Administration and Safety,Strongly agree,Strongly agree,Strongly agree,80%,No,897,6.0,9.0,Couple with dependent children,6.0,6.0,30%,50% - About half of my time,Female,Clerical and administrative ,Strongly agree,More than 200,10.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,6.0,Metro
Between 1 and 5 years,1.5,My productivity is about same when I work remotely,1963,Arts and Recreation Services,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,50% - About half of my time,No,898,3.0,3.0,Couple with dependent children,3.0,3.0,100% - I spent all of my time remote working,50% - About half of my time,Female,Professionals,Strongly agree,I am the only employee,1.5,Somewhat disagree,6.0,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,2020,3.0,Metro
More than 5 years,4.0,I’m 50% more productive when working remotely (or more),1965,Health Care and Social Assistance,Strongly agree,Strongly agree,Strongly agree,90%,Yes,899,5.0,8.0,Couple with no dependent children,14.0,4.0,90%,90%,Female,Managers,Strongly agree,More than 200,12.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Regional
More than 5 years,0.5,My productivity is about same when I work remotely,1983,Information Media and Telecommunications,Somewhat agree,Neither agree nor disagree,Strongly agree,50% - About half of my time,No,900,8.0,8.0,Couple with no dependent children,4.5,0.5,Rarely or never ,50% - About half of my time,Male,Sales ,Somewhat disagree,More than 200,5.0,Strongly agree,0.5,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Metro
More than 5 years,4.0,I’m 40% more productive when working remotely,1969,Information Media and Telecommunications,Somewhat agree,Somewhat agree,Strongly agree,60%,Yes,901,8.0,12.0,Couple with no dependent children,4.0,4.0,10%,10%,Male,Managers,Somewhat agree,More than 200,4.0,Strongly agree,0.0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,2020,3.0,Metro
Between 1 and 5 years,1.0,I’m 20% more productive when working remotely,1989,Education and Training,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,No,902,7.0,7.0,Couple with no dependent children,1.0,0.5,80%,60%,Female,Clerical and administrative ,Somewhat disagree,More than 200,2.0,Somewhat agree,0.25,Strongly agree,Neither agree nor disagree,Somewhat agree,2020,0.75,Regional
Between 1 and 5 years,3.0,My productivity is about same when I work remotely,1972,Public Administration and Safety,Somewhat agree,Somewhat agree,Strongly agree,80%,No,903,7.5,7.0,Couple with dependent children,3.0,3.0,Less than 10% of my time,80%,Male,Professionals,Somewhat agree,More than 200,6.0,Somewhat agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,3.0,Metro
More than 5 years,2.0,I’m 30% more productive when working remotely,1989,"Professional, Scientific and Technical Services",Somewhat agree,Somewhat agree,Somewhat agree,70%,Yes,904,9.0,9.0,Couple with no dependent children,5.0,1.0,50% - I spent about half of my time remote working,70%,Male,Managers,Somewhat agree,More than 200,6.0,Somewhat agree,0.0,Somewhat agree,Somewhat agree,Strongly agree,2020,2.0,Regional
More than 5 years,1.0,I’m 20% more productive when working remotely,1957,Financial and Insurance Services,Somewhat agree,Somewhat agree,Strongly agree,90%,No,905,8.0,9.0,Couple with no dependent children,5.0,0.0,50% - I spent about half of my time remote working,100% - All of my time,Male,Professionals,Somewhat agree,More than 200,6.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,2.0,Metro
Between 6 and 12 months,3.0,I’m 10% more productive when working remotely,1978,"Professional, Scientific and Technical Services",Somewhat agree,Somewhat agree,Strongly agree,10%,Yes,906,3.0,4.0,Couple with dependent children,2.0,3.0,40%,50% - About half of my time,Female,Managers,Neither agree nor disagree,More than 200,3.0,Somewhat agree,2.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,2.0,Metro
