response_id,birth_year,gender,industry,occupation,org_size,is_manager,household_type,tenure,location,remote_time_last_year,preferred_remote_last_year,remote_time_this_year,org_encouraged_remote,org_prepared,remote_was_common,easy_permission,easy_collaboration,preferred_remote_this_year,post_covid_preference,expect_employer_encourage,expect_employer_changes,expect_more_choice,productivity_remote,office_commute_hrs,office_working_hrs,office_personal_hrs,office_caring_hrs,remote_commute_hrs,remote_working_hrs,remote_personal_hrs,remote_caring_hrs,feel_better_remote,more_active_remote,feel_better_in_person,policy_sentiment,year
89,1965,Male,Construction,Technicians and trades workers - Construction Trades Workers,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,90%,100% - All of my time,90%,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,70%,80%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 50% more productive when working remotely (or more),3.0,7.0,2.0,3.0,0.0,9.0,3.0,3.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly Positive,2021
90,1972,Male,Education and Training,Managers - Specialist Managers,Between 1 and 4,Yes,Couple with dependent children,More than 5 years,Regional,10%,Less than 10% of my time,Rarely or never,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,I would not have preferred to work remotely,10%,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,My productivity is about same when I work remotely,1.0,6.0,5.0,6.0,1.0,6.0,5.0,6.0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,2021
91,1962,Female,Manufacturing,Managers - Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,Rarely or never,I would not have preferred to work remotely,Rarely or never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,I would not have preferred to work remotely,I would prefer not to work remotely,Very unlikely,Very unlikely,Very unlikely,My productivity is about same when I work remotely,1.0,12.0,4.0,0.0,0.0,8.0,8.0,0.0,Strongly disagree,Strongly disagree,Strongly agree,Strongly Negative,2021
92,1993,Female,Wholesale Trade,Clerical and administrative workers - Office Managers and Program Administrators,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,20%,50% - About half of my time,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 30% more productive when working remotely,5.0,5.0,5.0,9.0,2.0,10.0,2.0,2.0,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,2021
93,1973,Male,Public Administration and Safety,"Professionals - Legal, Social and Welfare Professionals",More than 200,No,Single person,More than 5 years,Metro,50% - I spent about half of my time remote working,20%,20%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,40%,30%,Somewhat likely,Somewhat likely,Somewhat likely,My productivity is about same when I work remotely,2.0,8.0,1.0,7.0,0.0,8.0,1.0,8.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,2021
94,1983,Male,Information Media and Telecommunications,Professionals - ICT Professionals,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro,70%,70%,70%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,70%,70%,Somewhat likely,Neither unlikely or likely,Somewhat likely,My productivity is about same when I work remotely,4.0,4.0,5.0,6.0,4.0,4.0,5.0,5.0,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly Positive,2021
95,1966,Female,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,No,Single person,More than 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,80%,80%,Very likely,Neither unlikely or likely,Very likely,My productivity is about same when I work remotely,0.0,10.0,2.0,4.0,0.0,10.0,3.0,3.0,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly Positive,2021
96,1990,Female,Accommodation and Food,"Managers - Hospitality, Retail and Service Managers",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,20%,10%,10%,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,Less than 10% of my time,Somewhat unlikely,Somewhat likely,Somewhat unlikely,I’m 10% less productive when working remotely,1.0,8.0,3.0,4.0,0.0,8.0,4.0,4.0,Somewhat agree,Somewhat disagree,Strongly agree,Strongly Positive,2021
97,1995,Female,Administrative and Support,Managers - Farmers and Farm Managers,Between 20 and 199,No,One parent family with dependent children,Between 1 and 5 years,Metro,20%,10%,20%,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,20%,10%,Somewhat likely,Neither unlikely or likely,Somewhat unlikely,I’m 40% more productive when working remotely,5.0,6.0,2.0,5.0,5.0,6.0,7.0,3.0,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat Negative,2021
98,1957,Female,Accommodation and Food,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,50% - I spent about half of my time remote working,80%,40%,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,80%,50% - About half of my time,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,I’m 50% more productive when working remotely (or more),1.5,7.0,1.5,6.0,0.0,6.0,4.0,6.0,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat Positive,2021
99,1970,Male,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,70%,60%,60%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,60%,70%,Somewhat likely,Very likely,Somewhat likely,I’m 30% more productive when working remotely,1.0,9.0,3.0,3.0,2.0,10.0,2.0,1.0,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither positive nor negative,2021
100,1980,Male,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,40%,30%,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,20%,30%,Very likely,Neither unlikely or likely,Somewhat likely,I’m 10% more productive when working remotely,6.0,4.0,4.0,4.0,2.5,2.5,5.0,6.0,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat Positive,2021
101,1978,Female,Education and Training,Professionals - Education Professionals,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,60%,60%,70%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,70%,70%,Somewhat likely,Somewhat likely,Very likely,I’m 20% more productive when working remotely,2.0,6.0,5.0,3.0,3.0,6.0,5.0,3.0,Strongly agree,Somewhat agree,Strongly agree,Somewhat Positive,2021
102,1997,Female,"Electricity, Gas, Water and Waste",Community and personal service workers - Hospitality Workers,Between 1 and 4,Yes,Couple with dependent children,Between 1 and 5 years,Metro,40%,30%,50% - I spent about half of my time remote working,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,40%,40%,Neither unlikely or likely,Somewhat likely,Somewhat unlikely,I’m 10% more productive when working remotely,2.0,6.0,2.0,6.0,4.0,8.0,2.0,4.0,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat Positive,2021
103,1976,Female,Other Services,Clerical and administrative workers - Personal Assistants and Secretaries,More than 200,No,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,100% - All of my time,60%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 30% more productive when working remotely,1.0,8.0,3.0,3.0,0.0,6.0,4.0,4.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,2021
104,1975,Female,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,40%,50% - About half of my time,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,40%,20%,Very likely,Very likely,Very likely,I’m 40% more productive when working remotely,2.0,8.0,2.0,4.0,2.0,8.0,2.0,6.0,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,2021
105,1993,Female,Other Services,Professionals - Arts and Media Professionals,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,10%,30%,Rarely or never,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,30%,30%,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,My productivity is about same when I work remotely,2.0,8.0,3.0,5.0,0.0,6.0,4.0,7.0,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,2021
106,1992,Female,Retail Trade,Sales workers - Sales Assistants and Salespersons,Between 20 and 199,Yes,One parent family with dependent children,Between 6 and 12 months,Metro,10%,20%,40%,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,20%,30%,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m 30% more productive when working remotely,6.0,7.0,3.0,3.0,2.0,8.0,4.0,5.0,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat Positive,2021
107,1969,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",Between 20 and 199,Yes,One parent family with dependent children,More than 5 years,Metro,20%,20%,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,20%,Somewhat likely,Neither unlikely or likely,Somewhat likely,I’m 40% more productive when working remotely,6.0,6.0,4.0,2.0,6.0,6.0,4.0,2.0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,2021
108,1986,Female,Financial and Insurance,"Professionals - Legal, Social and Welfare Professionals",More than 200,No,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat likely,Somewhat likely,Somewhat likely,My productivity is about same when I work remotely,3.0,7.0,,6.0,,7.0,,9.0,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly Positive,2021
109,1978,Female,Accommodation and Food,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,One parent family with dependent children,Between 1 and 5 years,Regional,30%,50% - About half of my time,30%,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat likely,Neither unlikely or likely,Somewhat likely,I’m 20% more productive when working remotely,1.0,8.0,3.0,4.0,0.0,9.0,3.0,4.0,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Positive,2021
110,1992,Female,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,40%,40%,20%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,20%,20%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 30% more productive when working remotely,1.5,8.0,4.0,3.0,0.5,8.0,4.0,4.0,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Positive,2021
111,1995,Female,Construction,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,40%,30%,70%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,70%,40%,Somewhat likely,Neither unlikely or likely,Somewhat likely,I’m 40% more productive when working remotely,3.0,6.0,3.0,5.0,2.0,6.0,6.0,4.0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,2021
112,1984,Female,"Transport, Postal and Warehousing","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,80%,50% - About half of my time,80%,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 50% more productive when working remotely (or more),4.0,8.0,2.0,2.0,4.0,8.0,2.0,2.0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,2021
113,1998,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",Between 20 and 199,No,Multiple family household,Between 1 and 5 years,Metro,Rarely or never,50% - About half of my time,Rarely or never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,My productivity is about same when I work remotely,1.0,8.0,4.0,2.0,1.0,8.0,4.0,2.0,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither positive nor negative,2021
114,1987,Female,Financial and Insurance,Clerical and administrative workers - Other Clerical and Administrative Workers,Between 5 and 19,No,Couple with dependent children,More than 5 years,Regional,30%,50% - About half of my time,30%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Neither unlikely or likely,Somewhat likely,Somewhat likely,I’m 20% more productive when working remotely,2.0,8.0,4.0,4.0,0.5,8.0,4.0,4.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,2021
115,1974,Male,Financial and Insurance,Managers - Specialist Managers,More than 200,No,Couple with dependent children,Between 1 and 5 years,Regional,100% - I spent all of my time remote working,100% - All of my time,50% - I spent about half of my time remote working,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,100% - All of my time,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,I’m 20% more productive when working remotely,4.0,9.0,2.0,3.0,0.0,10.0,3.0,3.0,Strongly agree,Somewhat agree,Strongly disagree,Somewhat Positive,2021
116,1986,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,Yes,Multiple family household,More than 5 years,Metro,30%,20%,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,30%,30%,Somewhat likely,Somewhat likely,Neither unlikely or likely,I’m 30% more productive when working remotely,6.0,4.0,6.0,4.0,9.0,7.0,2.0,4.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,2021
117,1977,Female,Health Care and Social Assistance,Professionals - Health Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,10%,20%,20%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,20%,20%,Somewhat likely,Very likely,Neither unlikely or likely,I’m 20% more productive when working remotely,1.0,8.0,4.0,4.0,1.0,8.0,4.0,4.0,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat Positive,2021
118,1989,Male,Other Services,Clerical and administrative workers - General Clerical Workers,More than 200,No,Single person,More than 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,Rarely or never,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,70%,Neither unlikely or likely,Somewhat likely,Somewhat likely,I’m 10% less productive when working remotely,2.0,7.0,0.0,8.0,0.0,7.0,0.0,7.0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,2021
119,1983,Male,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,70%,70%,70%,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,70%,70%,Very likely,Neither unlikely or likely,Neither unlikely or likely,I’m 30% less productive when working remotely,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither positive nor negative,2021
120,1999,Female,Public Administration and Safety,Clerical and administrative workers - Clerical and Office Support Workers,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,60%,80%,Neither unlikely or likely,Somewhat likely,Very likely,I’m 50% more productive when working remotely (or more),1.0,8.0,3.0,4.0,0.3,8.0,3.7,5.0,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Positive,2021
121,1981,Female,Information Media and Telecommunications,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Single person,Between 1 and 5 years,Metro,30%,90%,Less than 10% of my time,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Less than 10% of my time,I would prefer not to work remotely,Somewhat unlikely,Very likely,Neither unlikely or likely,My productivity is about same when I work remotely,1.0,8.0,4.0,5.0,0.0,8.0,5.0,5.0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,2021
122,1971,Male,Education and Training,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,100% - All of my time,100% - All of my time,Very likely,Very likely,Very likely,I’m 20% more productive when working remotely,5.0,9.0,2.0,2.0,0.0,10.0,4.0,3.0,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Positive,2021
123,1986,Female,Education and Training,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,80%,80%,60%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,80%,80%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 50% more productive when working remotely (or more),2.0,7.0,3.0,4.0,0.5,9.0,2.0,4.5,Strongly agree,Strongly disagree,Somewhat agree,Somewhat Positive,2021
124,1981,Male,Financial and Insurance,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,60%,40%,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Very likely,Somewhat likely,Somewhat likely,I’m 20% more productive when working remotely,2.0,8.0,2.0,2.0,2.0,8.0,2.0,4.0,Somewhat agree,Strongly agree,Somewhat agree,Strongly Positive,2021
125,1978,Male,Accommodation and Food,"Managers - Hospitality, Retail and Service Managers",Between 20 and 199,No,Couple with dependent children,More than 5 years,Regional,10%,10%,10%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,10%,10%,Somewhat likely,Very likely,Somewhat likely,I’m 10% less productive when working remotely,1.0,2.0,5.0,8.0,1.0,8.0,4.0,3.0,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Positive,2021
126,1995,Male,Health Care and Social Assistance,"Managers - Hospitality, Retail and Service Managers",Between 20 and 199,Yes,Group household,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,50% - About half of my time,70%,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,I’m 50% more productive when working remotely (or more),2.0,7.5,4.0,4.5,2.0,7.5,4.0,4.5,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,2021
127,1972,Male,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,20%,20%,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,20%,40%,Very likely,Very likely,Somewhat likely,I’m 20% more productive when working remotely,3.0,8.0,1.0,4.0,1.0,8.0,2.0,5.0,Strongly agree,Strongly agree,Somewhat agree,Strongly Positive,2021
128,1992,Male,Manufacturing,Machinery operators and drivers - Storepersons,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,10%,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,10%,10%,Very unlikely,Very unlikely,Very unlikely,I’m 10% less productive when working remotely,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat Positive,2021
129,1980,Male,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Multiple family household,Between 1 and 5 years,Metro,70%,70%,40%,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,50% - About half of my time,60%,Very likely,Somewhat likely,Very likely,I’m 20% more productive when working remotely,2.0,8.0,3.0,3.0,2.0,2.0,4.0,8.0,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat Negative,2021
130,1979,Male,Financial and Insurance,Managers - Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,50% - About half of my time,50% - About half of my time,Somewhat likely,Somewhat likely,Somewhat likely,I’m 50% more productive when working remotely (or more),3.0,8.0,3.0,2.0,0.0,7.5,3.5,4.0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,2021
131,1992,Female,Health Care and Social Assistance,Clerical and administrative workers - General Clerical Workers,More than 200,No,Multiple family household,Between 1 and 5 years,Metro,40%,20%,30%,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,30%,20%,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 30% more productive when working remotely,1.0,9.0,,6.0,1.0,8.0,1.0,6.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,2021
132,1968,Male,"Professional, Scientific and Technical",Professionals - ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,60%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Very likely,Very likely,Very likely,I’m 20% more productive when working remotely,2.0,7.5,3.0,4.0,0.0,8.5,3.0,5.0,Strongly agree,Strongly agree,Strongly disagree,Strongly Positive,2021
133,1999,Male,Retail Trade,Sales workers - Sales Assistants and Salespersons,More than 200,No,Multiple family household,Between 1 and 5 years,Regional,Rarely or never,I would not have preferred to work remotely,Rarely or never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I would not have preferred to work remotely,I would prefer not to work remotely,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 10% less productive when working remotely,2.0,8.0,,5.0,0.0,8.0,,6.0,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither positive nor negative,2021
134,1998,Female,Administrative and Support,Sales workers - Sales Representatives and Agents,More than 200,No,Other one family household,Between 1 and 5 years,Metro,90%,90%,90%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,100% - All of my time,Very unlikely,Very unlikely,Very unlikely,My productivity is about same when I work remotely,3.0,8.0,3.0,2.0,0.0,8.0,3.0,5.0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,2021
135,1996,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Single person,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,90%,70%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 50% more productive when working remotely (or more),1.5,8.5,1.0,5.0,1.0,8.0,1.0,6.0,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Positive,2021
136,1986,Female,Education and Training,Professionals - Education Professionals,Between 20 and 199,Yes,Single person,More than 5 years,Metro,Less than 10% of my time,I would not have preferred to work remotely,Rarely or never,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,20%,20%,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m 30% less productive when working remotely,1.0,10.5,3.0,1.5,0.5,8.5,3.0,3.0,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat Negative,2021
137,1980,Male,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,70%,40%,60%,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,60%,60%,Very likely,Somewhat likely,Very likely,I’m 20% more productive when working remotely,5.0,8.0,2.0,1.0,5.0,8.0,2.0,1.0,Strongly agree,Strongly agree,Somewhat agree,Somewhat Negative,2021
138,1999,Female,Other Services,Sales workers - Sales Assistants and Salespersons,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,Rarely or never,Less than 10% of my time,Rarely or never,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Less than 10% of my time,Less than 10% of my time,Very unlikely,Very unlikely,Somewhat unlikely,My productivity is about same when I work remotely,3.0,8.0,3.0,2.0,0.5,8.0,5.0,3.0,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly Positive,2021
139,1966,Male,Public Administration and Safety,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,100% - All of my time,60%,Very likely,Very likely,Very likely,I’m 30% more productive when working remotely,2.0,7.5,3.5,3.0,0.0,7.5,3.5,5.0,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Positive,2021
140,1993,Male,Accommodation and Food,Technicians and trades workers - Food Trades Workers,Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro,20%,80%,40%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,50% - About half of my time,Somewhat likely,Somewhat likely,Somewhat unlikely,I’m 50% more productive when working remotely (or more),2.0,6.0,2.0,4.0,3.0,6.0,2.0,3.0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,2021
141,1981,Male,Construction,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,80%,90%,70%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,70%,60%,Somewhat likely,Very likely,Somewhat likely,I’m 30% more productive when working remotely,1.0,5.0,2.0,8.0,8.0,3.0,2.0,3.0,Somewhat agree,Strongly agree,Strongly agree,Strongly Positive,2021
142,1993,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Multiple family household,Between 1 and 5 years,Metro,Less than 10% of my time,100% - All of my time,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,90%,Somewhat unlikely,Neither unlikely or likely,Somewhat likely,I’m 50% more productive when working remotely (or more),4.0,7.0,2.0,3.0,0.5,8.0,2.0,5.5,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,2021
