response_id,birth_year,gender,industry,occupation,org_size,is_manager,household_type,tenure,location,remote_time_last_year,preferred_remote_last_year,remote_time_last_3months,org_encouraged_remote,org_prepared,remote_was_common,easy_permission,easy_collaboration,preferred_remote_last_3months,post_covid_preference,expect_employer_encourage,expect_employer_changes,expect_more_choice,productivity_remote,office_commute_hrs,office_working_hrs,office_personal_hrs,office_caring_hrs,remote_commute_hrs,remote_working_hrs,remote_personal_hrs,remote_caring_hrs,year
121,1962,Male,Information Media and Telecommunications,Professionals,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,10%,20%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,80%,90%,Somewhat agree,Somewhat agree,Strongly agree,I’m 10% less productive when working remotely,2.0,8.0,4.0,2.0,1.0,8.0,4.0,1.0,2020
122,1959,Male,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,20%,30%,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,30%,20%,Somewhat agree,Somewhat agree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,7.5,4.0,2.0,0.5,8.0,3.0,2.5,2020
123,1963,Male,Manufacturing,Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,30%,30%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,60%,50% - About half of my time,Somewhat disagree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,2.0,8.5,3.0,1.5,0.5,10.0,3.0,1.5,2020
124,1970,Male,Retail Trade,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,30%,30%,30%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,30%,30%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1.0,10.0,3.0,2.0,1.0,10.0,4.0,2.0,2020
125,1963,Female,"Rental, Hiring and Real Estate Services",Managers,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,10%,I would not have preferred to work remotely ,20%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Strongly disagree,Strongly disagree,Strongly disagree,My productivity is about same when I work remotely,2.0,10.0,2.0,3.0,0.0,12.0,2.0,3.0,2020
126,1964,Male,"Transport, Postal and Warehousing",Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,60%,90%,60%,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,90%,70%,Somewhat disagree,Somewhat agree,Somewhat disagree,I’m 30% more productive when working remotely,2.0,8.0,3.0,2.0,0.5,8.0,4.0,3.0,2020
127,1965,Female,"Professional, Scientific and Technical Services",Professionals,Between 1 and 4,No,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Less than 10% of my time,Less than 10% of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,0.2,3.0,4.0,4.0,0.2,3.0,5.0,5.0,2020
128,1983,Female,Arts and Recreation Services,Clerical and administrative ,More than 200,No,Single person,Between 1 and 5 years,Metro,Less than 10% of my time,20%,60%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,60%,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,3.0,9.0,2.0,2.0,0.0,9.0,2.0,3.0,2020
129,1965,Female,Administrative and Support Services,Clerical and administrative ,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,90%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,90%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,2.0,8.0,3.0,3.0,0.0,8.0,5.0,4.0,2020
130,1980,Female,Administrative and Support Services,Clerical and administrative ,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,90%,90%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,1.5,4.0,2.0,5.0,0.2,4.0,4.0,5.0,2020
131,1988,Male,"Professional, Scientific and Technical Services",Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro,90%,50% - About half of my time,90%,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,90%,50% - About half of my time,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 10% less productive when working remotely,2.0,7.0,13.0,2.0,0.5,8.0,12.5,3.0,2020
132,1955,Male,"Professional, Scientific and Technical Services",Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,30%,30%,60%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,60%,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,I’m 10% more productive when working remotely,1.0,7.5,3.0,3.0,1.0,7.5,5.0,3.0,2020
133,1974,Female,Administrative and Support Services,Clerical and administrative ,More than 200,No,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,40%,60%,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,60%,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 50% more productive when working remotely (or more),4.0,8.0,2.0,6.0,0.5,9.0,2.0,5.0,2020
134,1981,Male,"Rental, Hiring and Real Estate Services",Managers,Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,30%,40%,100% - I spent all of my time remote working,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,40%,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,1.0,8.0,2.0,1.0,0.0,8.0,2.0,1.0,2020
135,1977,Male,Information Media and Telecommunications,Professionals,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,10%,50% - About half of my time,70%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,70%,50% - About half of my time,Somewhat disagree,Somewhat agree,Somewhat agree,I’m 40% more productive when working remotely,2.0,8.0,4.0,4.0,0.5,8.0,8.0,4.0,2020
136,1967,Male,Public Administration and Safety,Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,10%,20%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,80%,60%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 30% more productive when working remotely,1.0,8.0,1.0,1.0,0.0,9.0,1.0,1.0,2020
137,1966,Female,Public Administration and Safety,Labourers,I am the only employee,No,Couple with dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,100% - All of my time,100% - All of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 50% more productive when working remotely (or more),2.0,2.5,7.5,12.0,2.0,2.5,7.5,12.0,2020
138,1958,Male,Other Services,Professionals,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,50% - About half of my time,10%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,20%,20%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% more productive when working remotely,1.0,8.0,2.0,2.0,0.0,8.0,3.0,2.0,2020
139,1995,Female,Education and Training,Professionals,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,Rarely or never ,I would not have preferred to work remotely ,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Strongly disagree,Strongly disagree,Strongly disagree,My productivity is about same when I work remotely,2.0,1.0,3.0,4.0,0.5,3.0,4.0,2.0,2020
140,1971,Female,Retail Trade,Sales ,Between 20 and 199,No,One  parent family with dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,Rarely or never ,,,,,,100% - All of my time,100% - All of my time,Strongly disagree,Strongly disagree,Strongly agree,I’m 50% more productive when working remotely (or more),0.5,8.0,4.0,1.0,0.0,8.0,8.0,2.0,2020
141,1961,Female,Financial and Insurance Services,Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,20%,90%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Somewhat agree,Strongly agree,Somewhat agree,I’m 10% more productive when working remotely,3.0,8.0,4.0,1.0,0.5,9.0,5.5,1.0,2020
142,1982,Female,Other Services,Community and personal service ,I am the only employee,No,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I’m 50% more productive when working remotely (or more),1.0,8.0,2.0,4.0,0.0,8.0,8.0,3.0,2020
143,1977,Female,Health Care and Social Assistance,Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Regional,Less than 10% of my time,30%,20%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,30%,30%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.5,5.5,3.5,5.5,0.05,6.0,3.5,5.5,2020
144,1991,Female,Retail Trade,Sales ,Between 5 and 19,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,40%,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat agree,Somewhat agree,Strongly agree,I’m 50% more productive when working remotely (or more),2.0,8.0,3.0,1.0,0.2,8.0,5.0,3.0,2020
145,1977,Female,Construction,Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,20%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,50% - About half of my time,20%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% less productive when working remotely,0.75,4.5,2.5,1.5,0.5,6.0,2.0,1.5,2020
146,1989,Female,Education and Training,Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,50% - About half of my time,100% - I spent all of my time remote working,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,I’m 50% more productive when working remotely (or more),2.0,6.0,0.5,0.0,0.0,8.0,2.0,1.0,2020
147,1973,Female,Mining,Professionals,I am the only employee,Yes,One  parent family with dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,100% - All of my time,40%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,100% - All of my time,50% - About half of my time,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I’m 30% more productive when working remotely,1.0,2.0,2.0,10.0,1.0,1.0,1.0,1.0,2020
148,1991,Male,Financial and Insurance Services,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Strongly agree,Strongly agree,Somewhat agree,My productivity is about same when I work remotely,2.0,8.0,4.0,2.0,2.0,8.0,4.0,2.0,2020
149,1987,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,10%,10%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,100% - All of my time,I would prefer not to work remotely ,Somewhat agree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,1.0,8.0,1.0,0.5,0.0,8.0,1.0,0.5,2020
150,1993,Female,Accommodation and Food Services,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,20%,60%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,20%,30%,Somewhat disagree,Somewhat disagree,Somewhat agree,I’m 40% less productive when working remotely,5.0,7.0,1.0,1.0,4.0,6.0,4.0,4.0,2020
151,1975,Male,Financial and Insurance Services,Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,40%,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,3.0,7.0,2.0,2.0,0.0,8.0,4.0,4.0,2020
152,1996,Female,Education and Training,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,80%,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),1.0,8.0,6.0,2.0,0.0,14.0,2.0,2.0,2020
153,1991,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,Rarely or never ,Less than 10% of my time,10%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,20%,20%,Strongly agree,Somewhat agree,Neither agree nor disagree,I’m 20% less productive when working remotely,3.0,8.0,0.0,0.0,0.0,8.0,2.0,8.0,2020
154,1990,Female,Health Care and Social Assistance,Professionals,Between 1 and 4,Yes,Single person,More than 5 years,Metro,10%,40%,30%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,50% - About half of my time,50% - About half of my time,Neither agree nor disagree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,10.0,10.0,2.0,2.0,10.0,10.0,2.0,2.0,2020
155,1990,Female,Administrative and Support Services,Clerical and administrative ,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,10%,40%,60%,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,70%,40%,Strongly disagree,Somewhat disagree,Somewhat disagree,I’m 20% more productive when working remotely,3.0,8.0,2.0,2.0,1.0,8.0,2.0,3.0,2020
156,1998,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,30%,50% - About half of my time,80%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,80%,30%,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,My productivity is about same when I work remotely,2.5,5.0,4.0,2.0,0.5,7.0,8.0,3.0,2020
157,1990,Male,Construction,Labourers,Between 20 and 199,Yes,Group household,Between 6 and 12 months,Metro,10%,10%,10%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,10%,30%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,4.0,8.0,8.0,4.0,2.0,8.0,4.0,2.0,2020
158,1957,Female,Health Care and Social Assistance,Professionals,More than 200,No,Single person,More than 5 years,Metro,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Less than 10% of my time,Less than 10% of my time,Strongly disagree,Neither agree nor disagree,Strongly disagree,I’m 10% less productive when working remotely,1.5,7.5,2.0,2.0,0.5,7.0,3.0,1.0,2020
159,1971,Male,Wholesale Trade,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Strongly agree,Somewhat agree,Somewhat agree,I’m 40% less productive when working remotely,1.0,7.0,5.0,1.0,1.0,3.0,6.0,1.0,2020
160,1987,Female,Education and Training,Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,2.0,7.0,4.0,0.0,0.0,8.0,9.0,7.0,2020
161,1967,Male,"Rental, Hiring and Real Estate Services",Managers,Between 1 and 4,Yes,Couple with dependent children,More than 5 years,Regional,Rarely or never ,I would not have preferred to work remotely ,30%,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Somewhat disagree,Somewhat disagree,Somewhat disagree,I’m 30% less productive when working remotely,1.0,8.0,2.0,1.0,0.0,5.0,4.0,1.0,2020
162,1964,Female,Administrative and Support Services,Clerical and administrative ,Between 20 and 199,No,Single person,More than 5 years,Metro,20%,20%,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,20%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 50% more productive when working remotely (or more),1.0,8.0,2.0,2.0,1.0,8.0,2.0,2.0,2020
163,1976,Female,"Professional, Scientific and Technical Services",Clerical and administrative ,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,40%,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,I’m 20% more productive when working remotely,1.0,8.0,1.0,3.0,0.0,8.0,2.0,3.0,2020
164,1990,Female,Other Services,Managers,Between 5 and 19,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,I would not have preferred to work remotely ,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,90%,100% - All of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 50% more productive when working remotely (or more),5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2020
165,1965,Female,Administrative and Support Services,Clerical and administrative ,Between 5 and 19,No,Couple with no dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,50% - About half of my time,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,2.0,8.0,3.0,1.0,1.0,7.0,3.0,1.0,2020
166,1970,Female,Education and Training,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,10%,30%,90%,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,100% - All of my time,50% - About half of my time,Strongly disagree,Strongly disagree,Strongly disagree,I’m 10% more productive when working remotely,1.0,6.0,3.0,2.0,0.0,7.0,4.0,4.0,2020
167,1967,Male,Other Services,Managers,Between 20 and 199,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro,Rarely or never ,50% - About half of my time,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,40%,Somewhat disagree,Somewhat disagree,Somewhat agree,My productivity is about same when I work remotely,1.0,8.0,1.0,0.0,0.0,10.0,0.5,0.5,2020
168,1989,Female,Information Media and Telecommunications,Professionals,More than 200,No,Single person,More than 5 years,Metro,60%,70%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,70%,80%,Strongly agree,Strongly agree,Strongly agree,I’m 30% more productive when working remotely,1.0,5.0,2.0,2.0,0.0,8.0,4.0,2.0,2020
169,1965,Male,Construction,Technicians and trades ,I am the only employee,No,Single person,More than 5 years,Metro,10%,10%,Less than 10% of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,10%,I would prefer not to work remotely ,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,2020
170,1983,Female,Administrative and Support Services,Clerical and administrative ,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,80%,100% - I spent all of my time remote working,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,100% - All of my time,80%,Strongly agree,Strongly agree,Strongly agree,I’m 20% more productive when working remotely,3.5,8.0,4.0,0.0,0.0,9.0,5.0,0.0,2020
171,1978,Female,Administrative and Support Services,Community and personal service ,Between 5 and 19,No,Couple with no dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,80%,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Strongly disagree,Strongly disagree,Somewhat disagree,My productivity is about same when I work remotely,1.0,8.0,2.0,0.5,0.0,4.0,6.0,2.0,2020
172,1989,Female,Other Services,Technicians and trades ,Between 1 and 4,Yes,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,10%,Less than 10% of my time,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Less than 10% of my time,I would prefer not to work remotely ,Strongly disagree,Strongly disagree,Strongly disagree,My productivity is about same when I work remotely,0.2,8.0,2.0,2.0,0.2,8.0,2.0,2.0,2020
173,1985,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,10%,50% - About half of my time,100% - I spent all of my time remote working,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat disagree,My productivity is about same when I work remotely,1.0,9.0,2.0,2.0,0.0,8.0,3.0,2.0,2020
174,1976,Female,Public Administration and Safety,Clerical and administrative ,More than 200,No,Single person,Between 1 and 5 years,Metro,Less than 10% of my time,50% - About half of my time,60%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,3.5,7.0,2.0,0.0,0.0,8.0,8.0,1.0,2020
175,1990,Female,Accommodation and Food Services,Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,10%,20%,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,40%,10%,Somewhat agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,0.2,8.0,4.0,2.0,0.0,5.0,5.0,4.0,2020
176,1956,Female,"Professional, Scientific and Technical Services",Professionals,I am the only employee,No,Single person,More than 5 years,Metro,Less than 10% of my time,100% - All of my time,100% - I spent all of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,100% - All of my time,100% - All of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 30% more productive when working remotely,0.5,6.0,0.0,0.0,0.0,3.0,0.0,0.0,2020
177,1995,Female,Other Services,Professionals,I am the only employee,No,Couple with no dependent children,Between 6 and 12 months,Metro,70%,90%,80%,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,100% - All of my time,60%,Neither agree nor disagree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.0,8.0,6.0,2.0,0.5,6.0,8.0,5.0,2020
178,1977,Female,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,10%,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,20%,10%,Neither agree nor disagree,Strongly agree,Somewhat agree,I’m 10% more productive when working remotely,5.0,5.0,5.0,9.0,5.0,5.0,5.0,9.0,2020
179,1975,Male,Administrative and Support Services,Professionals,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),3.0,8.0,8.0,5.0,3.0,8.0,8.0,5.0,2020
180,1961,Male,Manufacturing,Managers,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,60%,100% - All of my time,100% - I spent all of my time remote working,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 50% more productive when working remotely (or more),3.5,8.0,5.0,7.5,0.0,6.5,9.5,8.0,2020
181,1973,Female,Other Services,Community and personal service ,I am the only employee,No,Couple with no dependent children,More than 5 years,Regional,10%,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,40%,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,0.5,4.0,4.0,4.0,0.5,2.0,6.0,4.0,2020
182,1969,Female,Construction,Clerical and administrative ,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,Rarely or never ,80%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,90%,90%,Strongly agree,Strongly agree,Strongly agree,I’m 20% more productive when working remotely,2.5,7.5,3.5,3.0,0.5,7.5,5.5,3.0,2020
183,1995,Male,Construction,Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),2.0,8.0,7.0,7.0,2.0,9.0,7.0,6.0,2020
184,1973,Male,Information Media and Telecommunications,Technicians and trades ,More than 200,No,Couple with dependent children,More than 5 years,Metro,20%,Less than 10% of my time,20%,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,10%,I would prefer not to work remotely ,Somewhat disagree,Somewhat disagree,Somewhat disagree,I’m 20% less productive when working remotely,2.0,8.0,4.0,3.0,0.5,8.0,6.0,3.0,2020
185,1964,Female,Education and Training,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,20%,I would prefer not to work remotely ,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,0.5,7.0,3.0,3.0,0.25,7.0,3.0,3.0,2020
186,1992,Female,Health Care and Social Assistance,Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,60%,100% - All of my time,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,80%,100% - All of my time,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,2.0,8.0,2.0,2.0,2.0,7.0,2.0,2.0,2020
